vehicle_index,space,time,speed,speed_diff
1120.0,0.04,4480.0,49.47311535477638,
1120.0,0.05353562288112137,4481.0,48.21794506195985,1.2551702928165298
1120.0,0.06683418637404114,4482.0,47.67722665691588,0.5407184050439753
1120.0,0.08015514856540022,4483.0,48.383786993870025,0.7065603369541478
1120.0,0.0936080960943433,4484.0,48.25117016442565,0.13261682944437325
1120.0,0.1070806552542234,4485.0,49.19982093990393,0.9486507754782778
1120.0,0.12093316515248587,4486.0,50.1973299996425,0.9975090597385687
1120.0,0.13482528380366712,4487.0,49.62077947423513,0.5765505254073702
1120.0,0.14828297502762555,4488.0,47.14445745359001,2.476322020645121
1120.0,0.16117831074061514,4489.0,45.994416927612676,1.1500405259773316
1120.0,0.1739294586444112,4490.0,45.8030986507255,0.1913182768871735
1120.0,0.18661755027446283,4491.0,45.4772559587102,0.3258426920152999
1120.0,0.1991761814432811,4492.0,44.98512909539185,0.4921268633183544
1120.0,0.21176131471884396,4493.0,46.16601007455716,1.180880979165309
1120.0,0.2255553024067759,4494.0,52.865756801876465,6.699746727319308
1120.0,0.23887746868008614,4495.0,38.94170157432264,13.924055227553822
1120.0,0.24831272165092466,4496.0,32.8694173218587,6.072284252463945
1120.0,0.25877886469200745,4497.0,43.29971374107858,10.430296419219879
1120.0,0.2714588204134968,4498.0,45.508577052948034,2.2088633118694574
1120.0,0.2833699649603467,4499.0,40.23323498619031,5.275342066757723
1120.0,0.294090443698105,4500.0,37.740072778000275,2.4931622081900358
1120.0,0.3045755934054242,4501.0,37.634114828218216,0.1059579497820593
1120.0,0.31472448272357934,4502.0,34.8456525000776,2.788462328140618
1120.0,0.32377039956623177,4503.0,30.17410886937658,4.6715436307010165
1120.0,0.33150152267115096,4504.0,25.636184373004493,4.537924496372089
1120.0,0.33808991625171475,4505.0,21.95565230948828,3.680532063516214
1120.0,0.3437796816037481,4506.0,19.119716005976425,2.835936303511854
1120.0,0.34874054656915454,4507.0,16.606791184642532,2.5129248213338933
1120.0,0.3530058594345056,4508.0,14.122932962263263,2.4838582223792685
1120.0,0.3566016997164306,4509.0,11.794884281418769,2.3280486808444945
1120.0,0.3595709926674166,4510.0,9.599213112367316,2.1956711690514528
1120.0,0.3619284934689357,4511.0,7.346110660848359,2.2531024515189575
1120.0,0.3636468968300339,4512.0,5.042421218277975,2.3036894425703833
1120.0,0.3647550587320663,4513.0,3.0099698848667362,2.032451333411239
1120.0,0.365373996618696,4514.0,1.5674217373787993,1.442548147487937
1120.0,0.3656954353298294,4515.0,0.8529191643833469,0.7145025729954524
1120.0,0.3658922721173909,4516.0,0.6196391045994485,0.23328005978389843
1120.0,0.3660575395654164,4517.0,0.5804084676246086,0.03923063697483986
1120.0,0.36620854952459037,4518.0,0.47496089080029247,0.10544757682431616
1120.0,0.36629657359611206,4519.0,0.1234288103085035,0.35153208049178897
1120.0,0.36630228789288566,4520.0,0.0,0.1234288103085035
1120.0,0.36630228789288566,4521.0,0.0,0.0
1120.0,0.36630228789288566,4522.0,0.0,0.0
1120.0,0.36634623602449284,4523.0,0.6597595775467076,0.6597595775467076
1120.0,0.36673971661848453,4524.0,2.2431342309948623,1.5833746534481548
1120.0,0.36761248484124387,4525.0,4.039916333024922,1.7967821020300598
1120.0,0.3689593635171079,4526.0,5.565113194526092,1.5251968615011702
1120.0,0.37065045791914875,4527.0,6.532397952757888,0.9672847582317958
1120.0,0.37254181909988987,4528.0,6.991165686492764,0.45876773373487545
1120.0,0.3744792795935426,4529.0,6.862047230561713,0.1291184559310503
1120.0,0.3763094488703555,4530.0,6.259211523611719,0.6028357069499943
1120.0,0.37793397980298016,4531.0,5.405851434773556,0.853360088838163
1120.0,0.3793045948209914,4532.0,4.462338361719484,0.9435130730540724
1120.0,0.38041780140361353,4533.0,3.5669169076228853,0.8954214540965983
1120.0,0.3812946196007523,4534.0,2.7602091578153596,0.8067077498075257
1120.0,0.3819483117434683,4535.0,1.93251812564516,0.8276910321701996
1120.0,0.3823715226498112,4536.0,1.140380756156655,0.792137369488505
1120.0,0.38260722055671764,4537.0,0.6212962059452423,0.5190845502114128
1120.0,0.3827629876469669,4538.0,0.6025058399744916,0.018790365970750678
1120.0,0.3830002091562292,4539.0,1.2009028137868492,0.5983969738123576
1120.0,0.3834836199305225,4540.0,2.3819621626515035,1.1810593488646544
1120.0,0.3843853091567308,4541.0,4.229208525953235,1.847246363301731
1120.0,0.3858954219251973,4542.0,6.73032407919732,2.5011155532440856
1120.0,0.38816592759189567,4543.0,9.684909652666514,2.9545855734691937
1120.0,0.39128646679045825,4544.0,12.774267230126396,3.0893575774598823
1120.0,0.39527970885057434,4545.0,16.02153541134926,3.2472681812228625
